번호	시도	군구	일련번호	인구(2005)	인구변화율(70-05)	인구밀도(2005)	노령화율(2005)	소득세할주민세(01-05평균)	개별공시지가 평균지가(2005)	총사업체종사자수(2001)	총사업체종사자수(2005)	총사업체종사자수변화율(01-05)	총사업체종사자수증감폭(01-05)	재정력지수(01-05평균)	지방세징수액(2002)	지방세징수액(2005)	1인당지방세징수액(2005)	지방세징수액증가율(02-05)	지방세징수액증감폭(02-05)	의료병상수(2005)	사설학원강사수(2005)	도로율(2005)	상하수도보급률(2005)
78	경기도	안양시	235	612423	15.5256025	10465.19139	6.298718121	24963671.6	469426	164608	178502	8.44065902	13894	107.808	365745469	402084353	656.5467871	9.93556642	36338884	3700	2203	9.185948223	102.7037685
79	경기도	부천시	228	838801	13.14476867	15696.1265	5.931306067	28429238.8	597891	210058	226218	7.693113331	16160	115.172	572340950	479513698	571.6656251	-16.21887303	-92827252	6027	3122	15.23514259	98.35050268
80	경기도	광명시	163	320268	31.57046648	8316.489224	6.843594656	10837261.4	390670.6387	59669	61842	3.641757026	2173	68.1	165815834	157758042	492.5813444	-4.85948284	-8057792	1304	1495	7.734519865	101.9439969
81	경기도	평택시	144	378438	23.12386078	835.2749023	8.711811512	16607671.6	64053.47227	113694	144701	27.27232748	31007	57.786	214378486	315740829	834.3264392	47.28195674	101362343	2747	1391	5.121382325	79.22658401
82	경기도	동두천시	142	80277	0.652241863	839.1031671	10.84578628	1524390	36228.48828	19741	19566	-0.886479915	-175	34.802	34778999	48178779	600.1566949	38.52836593	13399780	841	230	2.144720393	98.95362308
83	경기도	안산시	65	681590	127.325356	4632.569836	5.080623851	26477328.6	154858	214381	232109	8.269389545	17728	117.274	460669458	455460544	668.232433	-1.130727013	-5208914	4200	3131	9.45728084	101.32477
84	경기도	고양시	230	866846	15.7546076	3242.849126	7.510278782	35309095.2	164487	149969	187191	24.81979609	37222	127.298	659715068	690239778	796.2657473	4.626953587	30524710	6549	4256	5.57357106	95.40598907
85	경기도	과천시	153	56711	15.03106961	1581.896792	8.023044162	8966616.8	266480.8103	28726	30360	5.688226694	1634	178.2	783717518	490208770	8643.980357	-37.45083417	-293508748	20	140	5.930543096	105.3243639
86	경기도	구리시	172	187414	16.21496754	5628.048048	6.337387807	6127469.6	285811.1113	39136	42745	9.221688471	3609	66.886	137007466	111880573	596.9701997	-18.33979836	-25126893	1270	874	7.614516817	103.1054244
87	경기도	남양주시	63	426087	9.819660206	929.52944	8.017038681	12337131.8	51077.49867	61165	77250	26.29771928	16085	65.026	243269718	362693489	851.2193261	49.09109608	119423771	2254	1332	1.656355243	91.30236313
88	경기도	오산시	152	132532	11.49702155	3099.438728	4.974505281	4167806.2	215945.7826	29288	34904	19.17508877	5616	56.762	74435611	107231305	809.0974633	44.05914529	32795694	1699	520	6.476334425	93.05677119
89	경기도	시흥시	223	389638	14.23456698	2899.092262	4.965079729	12938115.4	131364.0725	113507	147321	29.7902332	33814	92.242	255117582	289136065	742.0633126	13.33443298	34018483	1677	1297	9.896500074	93.37859757
90	경기도	군포시	173	270042	52.29286225	7426.89769	6.330205974	10596406	316301.95	66807	79450	18.92466358	12643	80.908	165818687	168079656	622.4204235	1.363518817	2260969	1199	629	8.337208471	102.6281097
91	경기도	의왕시	74	143987	17.04375829	2666.425926	6.892204391	5495576.4	150642.3353	28044	31924	13.83540151	3880	60.97	98547777	91555166	635.8571677	-7.095655745	-6992611	1667	462	5.831296296	99.91665914
92	경기도	하남시	222	122337	9.49738442	1314.462233	7.728984101	4938808.4	136870.0747	26312	35569	35.18166616	9257	51.998	115317295	153609918	1255.62927	33.20631394	38292623	508	455	3.867610186	92.15936307
93	경기도	용인시	148	689691	17.72275411	1166.101953	7.149242475	49139457.8	97230.85932	142598	184276	29.2276189	41678	183.306	751300857	887255161	1286.453152	18.09585371	135954304	4899	4747	2.781135193	68.08686789
94	경기도	파주시	43	242241	0.782820238	360.1721754	10.96933989	9383410	50603.65667	58736	74886	27.49591392	16150	58.18	165021398	248818117	1027.15113	50.779305	83796719	1307	574	2.725206982	64.65152472
95	경기도	이천시	147	188556	2.213127428	408.8112222	9.183314313	11160040.6	23580.7636	61837	70879	14.6223135	9042	65.166	109853307	177573523	941.7548262	61.64604221	67720216	1339	750	4.258027275	63.02159571
96	경기도	안성시	60	159198	0.649509844	287.6413833	11.63659663	4941407.2	19670.33665	41406	54232	30.97618703	12826	45.982	86160715	136872521	859.7628174	58.85722513	50711806	999	457	3.304284808	56.78588927
97	경기도	김포시	143	195776	4.306516326	707.6923077	8.871603811	8401012.6	67717.06361	65793	81235	23.47058198	15442	72.454	163026207	168492151	860.6374173	3.352800817	5465944	1835	793	3.471665558	71.71333299
98	경기도	화성시	9	288718	3.60689798	419.5080133	8.94358509	18928859	55477.81103	51367	180836	252.0470341	129469	77.274	86531296	436327981	1511.260057	404.2429747	349796685	1016	542	3.969103105	50.80545723
99	경기도	광주시	50	206304	7.581335573	478.1200028	7.675286146	8787789.6	40502.37709	26269	75237	186.4098367	48968	76.076	69155721	220474388	1068.686928	218.808603	151318667	946	729	2.545239704	92.94657399
100	경기도	양주시	22	152007	5.741437877	490.0290135	8.602623874	4331436.6	41212.21334	111485	59126	-46.96506256	-52359	50.16	236922125	126322314	831.0295842	-46.68192597	-110599811	1154	498	2.179442818	75.64552948
101	경기도	여주군	30	98905	-0.042123539	162.7101635	17.89346247	3025442.2	13435.15684	52750	27880	-47.14691943	-24870	42.466	23846338	103034003	1041.747161	332.0747404	79187665	1109	263	3.134479469	47.43743997
102	경기도	연천군	26	41561	-0.882260701	64.54072521	14.16787721	1254084.2	7344.129632	11350	11598	2.185022026	248	23.016	92469478	42801371	1029.84459	-53.71297435	-49668107	382	102	1.451700769	86.29484372
103	경기도	포천시	20	142189	0.245029486	172.0562433	11.58225307	4837928.6	11812.14829	54199	62882	16.02059079	8683	45.018	175385458	114950646	808.4355752	-34.45827989	-60434812	1120	697	1.531311056	58.33714282
104	경기도	가평군	5	49581	-0.865690106	58.78705241	18.10473104	1766687.4	5528.982816	15065	16458	9.246598075	1393	27.422	42547822	59430754	1198.65985	39.67989713	16882932	986	144	0.104274366	69.62445292
